COD_GTIN;DAT_EMISSAO;COD_TIPO_PAGAMENTO;COD_PRODUTO;COD_NCM;COD_UNIDADE;DSC_PRODUTO;VLR_UNITARIO;ID_ESTABELECIMENTO;NME_ESTABELECIMENTO;NME_LOGRADOURO;COD_NUMERO_LOGRADOURO;NME_COMPLEMENTO;NME_BAIRRO;COD_MUNICIPIO_IBGE;NME_MUNICIPIO;NME_SIGLA_UF;COD_CEP;NUM_LATITUDE;NUM_LONGITUDE
5601216120152;07/02/2019 09:53;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131966;Estabelecimento 14;RUA MANOEL JOAQUIM DOS SANTOS;2;;ITACIBA;3201308;CARIACICA;ES;29150270;-203.204.997;-403.819.473
5601216120152;07/02/2019 13:06;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131966;Estabelecimento 14;RUA MANOEL JOAQUIM DOS SANTOS;2;;ITACIBA;3201308;CARIACICA;ES;29150270;-203.204.997;-403.819.473
5601216120152;07/02/2019 11:34;99;560122;15091000;UN1;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131967;Estabelecimento 15;AVE CHAMPAGNAT;120;;PRAIA DA COSTA;3205200;VILA VELHA;ES;29101410;-203.370.283;-402.831.457
5601216120152;07/02/2019 11:39;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131967;Estabelecimento 15;AVE CHAMPAGNAT;120;;PRAIA DA COSTA;3205200;VILA VELHA;ES;29101410;-203.370.283;-402.831.457
5601216120152;07/02/2019 10:05;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131968;Estabelecimento 16;AVE ESPIRITO SANTO;21;;JARDIM AMERICA;3201308;CARIACICA;ES;29140080;-20.337.139;-40.361.431
5601216120152;07/02/2019 15:32;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131968;Estabelecimento 16;AVE ESPIRITO SANTO;21;;JARDIM AMERICA;3201308;CARIACICA;ES;29140080;-20.337.139;-40.361.431
5601216120152;07/02/2019 11:03;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131969;Estabelecimento 20;AVE JOSE MARIA VIVACQUA SANTOS;520;;JARDIM CAMBURI;3205309;VITORIA;ES;29090160;;
5601216120152;07/02/2019 12:02;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131969;Estabelecimento 20;AVE JOSE MARIA VIVACQUA SANTOS;520;;JARDIM CAMBURI;3205309;VITORIA;ES;29090160;;
5601216120152;07/02/2019 09:29;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131970;Estabelecimento 7;RUA DO COMERCIO;26;;VALPARAISO;3205002;SERRA;ES;29160970;-201.980.306;-402.622.606
5601216120152;07/02/2019 10:00;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131970;Estabelecimento 7;RUA DO COMERCIO;26;;VALPARAISO;3205002;SERRA;ES;29160970;-201.980.306;-402.622.606
5601216120152;07/02/2019 08:54;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131972;Estabelecimento 27;AVE CENTRAL;873;;LARANJEIRAS;3205002;SERRA;ES;29165130;-201.996.129;-402.544.162
5601216120152;07/02/2019 15:43;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131972;Estabelecimento 27;AVE CENTRAL;873;;LARANJEIRAS;3205002;SERRA;ES;29165130;-201.996.129;-402.544.162
5601216120152;07/02/2019 09:26;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;19.9;131974;Estabelecimento 13;AVE GETULIO VARGAS;517;;CENTRO;3201506;COLATINA;ES;29700011;-195.342.444;-406.273.958
5601216120152;07/02/2019 10:02;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;19.9;131974;Estabelecimento 13;AVE GETULIO VARGAS;517;;CENTRO;3201506;COLATINA;ES;29700011;-195.342.444;-406.273.958
5601216120152;07/02/2019 12:07;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;19.9;131974;Estabelecimento 13;AVE GETULIO VARGAS;517;;CENTRO;3201506;COLATINA;ES;29700011;-195.342.444;-406.273.958
5601216120152;07/02/2019 08:28;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131976;Estabelecimento 24;AVE FORTALEZA;476;;ITAPUA;3205200;VILA VELHA;ES;29101572;-20.351.105;-40.287.632
5601216120152;07/02/2019 10:48;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131976;Estabelecimento 24;AVE FORTALEZA;476;;ITAPUA;3205200;VILA VELHA;ES;29101572;-20.351.105;-40.287.632
5601216120152;07/02/2019 12:13;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131976;Estabelecimento 24;AVE FORTALEZA;476;;ITAPUA;3205200;VILA VELHA;ES;29101572;-20.351.105;-40.287.632
5601216120152;07/02/2019 07:38;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131977;Estabelecimento 32;AVE CARLOS LINDENBERG;1955;;GLORIA;3205200;VILA VELHA;ES;29122355;-203.445.912;-403.143.831
5601216120152;07/02/2019 10:04;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131978;Estabelecimento 1;AVE JONES DOS SANTOS NEVES;504;;CENTRO;3204906;SAO MATEUS;ES;29930010;-187.185.084;-398.566.793
5601216120152;07/02/2019 11:50;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131979;Estabelecimento 17;RUA PADRE ANTONIO RIBEIRO PINTO;156;;PRAIA DO SUA;3205309;VITORIA;ES;29052290;-20.311.826;-40.301.094
